TileID	first_line	last_line	first_column	last_column	lats	lons
TILE_0002	1000	1499	0	499	[-22.96368217          nan          nan          nan]	[ 56.93360138          nan          nan          nan]
TILE_0003	1500	1999	0	499	[-11.0240531  -22.91195011          nan          nan]	[ 50.40774918  56.88871002          nan          nan]
TILE_0004	2000	2499	0	499	[ -0.02174321 -10.97896433          nan          nan]	[ 48.78775406  50.39401817          nan          nan]
TILE_0005	2500	2999	0	499	[ 10.97896433   0.02174321          nan          nan]	[ 50.39401817  48.78775406          nan          nan]
TILE_0006	3000	3499	0	499	[ 22.91195011  11.0240531           nan          nan]	[ 56.88871002  50.40774918          nan          nan]
TILE_0007	3500	3999	0	499	[         nan  22.96368217          nan          nan]	[         nan  56.93360138          nan          nan]
TILE_0011	500	999	500	999	[-35.13127518          nan          nan          nan]	[ 44.09191704          nan          nan          nan]
TILE_0012	1000	1499	500	999	[-21.92885876 -35.07124138          nan -22.95700169]	[ 36.72346497  44.04276276          nan  56.81773186]
TILE_0013	1500	1999	500	999	[-10.63207865 -21.881073   -22.90531063 -11.02182007]	[ 33.89321709  36.7061882   56.77319717  50.32457352]
TILE_0014	2000	2499	500	999	[ -0.0210164  -10.58879662 -10.97674465  -0.02173815]	[ 33.09795189  33.88662338  50.31090736  48.71061897]
TILE_0015	2500	2999	500	999	[ 10.58879662   0.0210164    0.02173815  10.97674465]	[ 33.88662338  33.09795189  48.71061897  50.31090736]
TILE_0016	3000	3499	500	999	[ 21.881073    10.63207865  11.02182007  22.90531063]	[ 36.7061882   33.89321709  50.32457352  56.77319717]
TILE_0017	3500	3999	500	999	[ 35.07124138  21.92885876  22.95700169          nan]	[ 44.04276276  36.72346497  56.81773186          nan]
TILE_0018	4000	4499	500	999	[         nan  35.13127518          nan          nan]	[         nan  44.09191704          nan          nan]
TILE_0020	0	499	1000	1499	[-51.0498085         nan         nan         nan]	[ 37.66681862          nan          nan          nan]
TILE_0021	500	999	1000	1499	[-34.00689316 -50.95992851          nan -35.12469101]	[ 26.44300365  37.569767            nan  44.00468636]
TILE_0022	1000	1499	1000	1499	[-21.42584133 -33.9510994  -35.06469345 -21.92615032]	[ 22.89343834  26.42135429  43.95578003  36.66087723]
TILE_0023	1500	1999	1000	1499	[-10.42050123 -21.37957382 -21.8783741  -10.63096476]	[ 21.38423252  22.88444901  36.64365959  33.83797836]
TILE_0024	2000	2499	1000	1499	[ -0.02061511 -10.37815285 -10.58768892  -0.02101378]	[ 20.94746971  21.3806324   33.83140564  33.04462814]
TILE_0025	2500	2999	1000	1499	[ 10.37815285   0.02061511   0.02101378  10.58768892]	[ 21.3806324   20.94746971  33.04462814  33.83140564]
TILE_0026	3000	3499	1000	1499	[ 21.37957382  10.42050123  10.63096476  21.8783741 ]	[ 22.88444901  21.38423252  33.83797836  36.64365959]
TILE_0027	3500	3999	1000	1499	[ 33.9510994   21.42584133  21.92615032  35.06469345]	[ 26.42135429  22.89343834  36.66087723  43.95578003]
TILE_0028	4000	4499	1000	1499	[ 50.95992851  34.00689316  35.12469101          nan]	[ 37.569767    26.44300365  44.00468636          nan]
TILE_0029	4500	4999	1000	1499	[        nan  51.0498085         nan         nan]	[         nan  37.66681862          nan          nan]
TILE_0030	0	499	1500	1999	[-49.54452515          nan          nan -51.03999329]	[ 16.86163139          nan          nan  37.5631237 ]
TILE_0031	500	999	1500	1999	[-33.48055077 -49.46448135 -50.95021057 -34.0038681 ]	[ 12.62653399  16.83006763  37.46669006  26.38291454]
TILE_0032	1000	1499	1500	1999	[-21.16823578 -33.42638588 -33.9480896  -21.42439651]	[ 11.08287859  12.61736679  26.3613472   22.84337521]
TILE_0033	1500	1999	1500	1999	[-10.309062   -21.12269878 -21.37813377 -10.41988039]	[ 10.40395451  11.07887077  22.83441544  21.33810902]
TILE_0034	2000	2499	1500	1999	[ -0.02040218 -10.26719904 -10.37753582  -0.02061363]	[ 10.20522928  10.40231991  21.33452034  20.90245533]
TILE_0035	2500	2999	1500	1999	[ 10.26719904   0.02040218   0.02061363  10.37753582]	[ 10.40231991  10.20522928  20.90245533  21.33452034]
TILE_0036	3000	3499	1500	1999	[ 21.12269878  10.309062    10.41988039  21.37813377]	[ 11.07887077  10.40395451  21.33810902  22.83441544]
TILE_0037	3500	3999	1500	1999	[ 33.42638588  21.16823578  21.42439651  33.9480896 ]	[ 12.61736679  11.08287859  22.84337521  26.3613472 ]
TILE_0038	4000	4499	1500	1999	[ 49.46448135  33.48055077  34.0038681   50.95021057]	[ 16.83006763  12.62653399  26.38291454  37.46669006]
TILE_0039	4500	4999	1500	1999	[         nan  49.54452515  51.03999329          nan]	[         nan  16.86163139  37.5631237           nan]
TILE_0040	0	499	2000	2499	[-49.14119148          nan          nan -49.54116249]	[  0.03271565          nan          nan  16.7902689 ]
TILE_0041	500	999	2000	2499	[-33.32027054 -49.06322479 -49.46113968 -33.47924614]	[  0.02485374   0.03264461  16.75889683  12.57468128]
TILE_0042	1000	1499	2000	2499	[-21.0876236  -33.26656914 -33.42508507 -21.16758251]	[  0.0218966    0.02483196  12.56556368  11.03771353]
TILE_0043	1500	1999	2000	2499	[-10.27384472 -21.04230976 -21.12204933 -10.30877781]	[  0.02058415   0.02188695  11.03372765  10.36167955]
TILE_0044	2000	2499	2000	2499	[ -0.02033467 -10.23213387 -10.2669158   -0.0204015 ]	[  0.02019854   0.02058019  10.36005402  10.16379595]
TILE_0045	2500	2999	2000	2499	[ 10.23213387   0.02033467   0.0204015   10.2669158 ]	[  0.02058019   0.02019854  10.16379595  10.36005402]
TILE_0046	3000	3499	2000	2499	[ 21.04230976  10.27384472  10.30877781  21.12204933]	[  0.02188695   0.02058415  10.36167955  11.03372765]
TILE_0047	3500	3999	2000	2499	[ 33.26656914  21.0876236   21.16758251  33.42508507]	[  0.02483196   0.0218966   11.03771353  12.56556368]
TILE_0048	4000	4499	2000	2499	[ 49.06322479  33.32027054  33.47924614  49.46113968]	[  0.03264461   0.02485374  12.57468128  16.75889683]
TILE_0049	4500	4999	2000	2499	[         nan  49.14119148  49.54116249          nan]	[         nan   0.03271565  16.7902689           nan]
TILE_0050	0	499	2500	2999	[-49.54116249          nan          nan -49.14119148]	[-16.7902689           nan          nan  -0.03271565]
TILE_0051	500	999	2500	2999	[-33.47924614 -49.46113968 -49.06322479 -33.32027054]	[-12.57468128 -16.75889683  -0.03264461  -0.02485374]
TILE_0052	1000	1499	2500	2999	[-21.16758251 -33.42508507 -33.26656914 -21.0876236 ]	[-11.03771353 -12.56556368  -0.02483196  -0.0218966 ]
TILE_0053	1500	1999	2500	2999	[-10.30877781 -21.12204933 -21.04230976 -10.27384472]	[-10.36167955 -11.03372765  -0.02188695  -0.02058415]
TILE_0054	2000	2499	2500	2999	[ -0.0204015  -10.2669158  -10.23213387  -0.02033467]	[-10.16379595 -10.36005402  -0.02058019  -0.02019854]
TILE_0055	2500	2999	2500	2999	[ 10.2669158    0.0204015    0.02033467  10.23213387]	[-10.36005402 -10.16379595  -0.02019854  -0.02058019]
TILE_0056	3000	3499	2500	2999	[ 21.12204933  10.30877781  10.27384472  21.04230976]	[-11.03372765 -10.36167955  -0.02058415  -0.02188695]
TILE_0057	3500	3999	2500	2999	[ 33.42508507  21.16758251  21.0876236   33.26656914]	[-12.56556368 -11.03771353  -0.0218966   -0.02483196]
TILE_0058	4000	4499	2500	2999	[ 49.46113968  33.47924614  33.32027054  49.06322479]	[-16.75889683 -12.57468128  -0.02485374  -0.03264461]
TILE_0059	4500	4999	2500	2999	[         nan  49.54116249  49.14119148          nan]	[         nan -16.7902689   -0.03271565          nan]
TILE_0060	0	499	3000	3499	[-51.03999329          nan          nan -49.54452515]	[-37.5631237           nan          nan -16.86163139]
TILE_0061	500	999	3000	3499	[-34.0038681  -50.95021057 -49.46448135 -33.48055077]	[-26.38291454 -37.46669006 -16.83006763 -12.62653399]
TILE_0062	1000	1499	3000	3499	[-21.42439651 -33.9480896  -33.42638588 -21.16823578]	[-22.84337521 -26.3613472  -12.61736679 -11.08287859]
TILE_0063	1500	1999	3000	3499	[-10.41988039 -21.37813377 -21.12269878 -10.309062  ]	[-21.33810902 -22.83441544 -11.07887077 -10.40395451]
TILE_0064	2000	2499	3000	3499	[ -0.02061363 -10.37753582 -10.26719904  -0.02040218]	[-20.90245533 -21.33452034 -10.40231991 -10.20522928]
TILE_0065	2500	2999	3000	3499	[ 10.37753582   0.02061363   0.02040218  10.26719904]	[-21.33452034 -20.90245533 -10.20522928 -10.40231991]
